date,peak_load_MW
2018-09-24,27215.6704361874
2018-09-25,32749.584026622295
2018-09-26,31950.65789473684
2018-09-27,31949.395770392748
2018-09-28,31502.329192546582
2018-09-29,26811.175337186894
2018-09-30,25510.03764115433
2018-10-01,30702.67591674926
2018-10-02,30977.137176938366
2018-10-03,30581.03975535168
2018-10-04,29864.42220200182
2018-10-05,30366.286438529787
2018-10-06,27100.2004008016
2018-10-07,25881.566380133714
2018-10-08,30865.145228215766
2018-10-09,31290.87048832272
2018-10-10,27569.97742663657
2018-10-11,29887.619047619046
2018-10-12,29162.26708074534
2018-10-13,26151.3470681458
2018-10-14,25688.59198355601
2018-10-15,30551.040634291374
2018-10-16,31441.524310118264
2018-10-17,30090.191657271702
2018-10-18,30083.51409978308
2018-10-19,29964.73029045643
2018-10-20,26214.82098251457
2018-10-21,25376.146788990827
2018-10-22,30222.651222651228
2018-10-23,30458.27232796486
2018-10-24,30548.168249660783
2018-10-25,31020.527859237536
2018-10-26,31007.20461095101
2018-10-27,25589.15946582875
2018-10-28,24281.371784879186
2018-10-29,28444.241316270567
2018-10-30,29059.090909090904
2018-10-31,29047.318611987383
2018-11-01,28593.010146561446
2018-11-02,28898.765432098768
2018-11-03,26482.764786795047
2018-11-04,25393.79474940334
2018-11-05,29859.971711456863
2018-11-06,30755.072463768116
2018-11-07,30938.775510204083
2018-11-08,31415.43513957307
2018-11-09,30277.298850574713
2018-11-10,26930.298719772403
2018-11-11,25564.824120603018
2018-11-12,29946.99140401146
2018-11-13,29515.195369030385
2018-11-14,29418.74084919473
2018-11-15,29937.97276853252
2018-11-16,29962.80400572246
2018-11-17,26628.205128205132
2018-11-18,25689.90042674253
2018-11-19,29168.67469879518
2018-11-20,29719.81424148607
2018-11-21,30009.287925696597
2018-11-22,28812.35697940503
2018-11-23,28407.17299578059
2018-11-24,24803.24244657332
2018-11-25,24814.516129032258
2018-11-26,28903.46907993967
2018-11-27,29030.158730158728
2018-11-28,28971.080669710806
2018-11-29,28687.763713080167
2018-11-30,28577.225130890056
2018-12-01,25636.973180076628
2018-12-02,24971.486761710792
2018-12-03,28960.244648318043
2018-12-04,29866.12903225806
2018-12-05,29415.151515151516
2018-12-06,30043.478260869564
2018-12-07,28339.908952959027
2018-12-08,25193.91634980989
2018-12-09,24040.72398190045
2018-12-10,28634.18290854573
2018-12-11,28693.27073552426
2018-12-12,28243.79562043796
2018-12-13,28193.45238095238
2018-12-14,28194.805194805194
2018-12-15,25401.394422310757
2018-12-16,24552.119129438714
2018-12-17,27838.30455259027
2018-12-18,28091.338582677166
2018-12-19,28393.08176100629
2018-12-20,28511.111111111113
2018-12-21,28652.29885057471
2018-12-22,27184.325108853416
2018-12-23,24514.970059880237
2018-12-24,27918.854415274458
2018-12-25,28604.379562043796
2018-12-26,28473.600000000002
2018-12-27,27730.659025787965
2018-12-28,26858.072916666668
2018-12-29,24310.830860534123
2018-12-30,23340.39735099338
2018-12-31,23406.932931424268
2019-01-01,23877.684407096167
2019-01-02,28140.740740740737
2019-01-03,28445.112781954886
2019-01-04,28476.415094339623
2019-01-05,26064.383561643837
2019-01-06,24606.540084388187
2019-01-07,28515.055467511887
2019-01-08,28711.838006230533
2019-01-09,28646.627565982402
2019-01-10,28999.999999999996
2019-01-11,28798.165137614676
2019-01-12,25898.340248962653
2019-01-13,24641.31551901336
2019-01-14,28334.41558441558
2019-01-15,28904.38871473354
2019-01-16,28663.565891472866
2019-01-17,28380.323054331868
2019-01-18,27774.74892395983
2019-01-19,26475.609756097558
2019-01-20,24539.187913125592
2019-01-21,27749.27536231884
2019-01-22,28131.771595900434
2019-01-23,27856.321839080458
2019-01-24,27861.60714285714
2019-01-25,27296.561604584524
2019-01-26,25273.18045862413
2019-01-27,24406.06767794632
2019-01-28,27567.93893129771
2019-01-29,27846.504559270514
2019-01-30,27756.134969325158
2019-01-31,27188.489208633095
2019-02-01,24718.066743383202
2019-02-02,23385.17745302714
2019-02-03,22926.884139482565
2019-02-04,20212.1451104101
2019-02-05,19992.28791773779
2019-02-06,19932.188841201718
2019-02-07,20946.322067594432
2019-02-08,21583.506583506583
2019-02-09,22430.615164520743
2019-02-10,23239.04688700999
2019-02-11,26672.919109026967
2019-02-12,27761.194029850747
2019-02-13,27712.011577424026
2019-02-14,28248.54651162791
2019-02-15,28279.94227994228
2019-02-16,25435.010482180296
2019-02-17,24346.08378870674
2019-02-18,28647.154471544716
2019-02-19,28879.3893129771
2019-02-20,29082.278481012658
2019-02-21,28907.496012759173
2019-02-22,28420.9726443769
2019-02-23,26715.61051004637
2019-02-24,24686.192468619247
2019-02-25,28105.76923076923
2019-02-26,28400.0
2019-02-27,28023.56406480118
2019-02-28,25473.79454926625
2019-03-01,24700.000000000004
2019-03-02,24730.09446693657
2019-03-03,24098.591549295776
2019-03-04,27697.36842105263
2019-03-05,28232.658959537574
2019-03-06,28021.865889212826
2019-03-07,28128.012048192773
2019-03-08,27940.0
2019-03-09,25873.671782762693
2019-03-10,24804.081632653062
2019-03-11,27724.884080370946
2019-03-12,27922.73402674591
2019-03-13,28149.341142020498
2019-03-14,28432.907348242814
2019-03-15,27746.762589928057
2019-03-16,25311.557788944727
2019-03-17,24678.87931034483
2019-03-18,28353.79644588045
2019-03-19,28876.8
2019-03-20,29641.47909967846
2019-03-21,30359.567901234564
2019-03-22,29635.44303797468
2019-03-23,25263.0303030303
2019-03-24,24823.7650200267
2019-03-25,28545.454545454544
2019-03-26,28759.146341463416
2019-03-27,29156.86274509804
2019-03-28,30079.491255961842
2019-03-29,29687.861271676302
2019-03-30,25815.568862275453
2019-03-31,24467.518636847708
2019-04-01,27849.92784992785
2019-04-02,28376.296296296296
2019-04-03,28472.346786248127
2019-04-04,25654.605263157897
2019-04-05,24538.663171690692
2019-04-06,24974.777448071218
2019-04-07,25255.68181818182
2019-04-08,30388.888888888887
2019-04-09,31520.064205457464
2019-04-10,31718.703976435936
2019-04-11,30524.22907488987
2019-04-12,29031.654676258993
2019-04-13,26427.927927927925
2019-04-14,25531.31313131313
2019-04-15,28743.849493487698
2019-04-16,29015.455950540956
2019-04-17,29578.64357864358
2019-04-18,30356.060606060604
2019-04-19,30769.230769230766
2019-04-20,26898.28080229226
2019-04-21,26292.906178489702
2019-04-22,31942.30769230769
2019-04-23,33165.302782324055
2019-04-24,33274.08637873754
2019-04-25,33136.03473227206
2019-04-26,32685.050798258344
2019-04-27,27381.86813186813
2019-04-28,26934.984520123842
2019-04-29,32852.89747399702
2019-04-30,33092.81437125749
2019-05-01,26829.14137033825
2019-05-02,28694.11764705883
2019-05-03,28318.531169940223
2019-05-04,25821.192052980135
2019-05-05,25341.573033707864
2019-05-06,28621.42857142857
2019-05-07,28482.5327510917
2019-05-08,28952.63870094723
2019-05-09,29224.57067371202
2019-05-10,29572.562358276642
2019-05-11,26588.566073102153
2019-05-12,26478.005865102637
2019-05-13,32146.03616133518
2019-05-14,33136.858475894245
2019-05-15,32891.970802919706
2019-05-16,33312.32876712329
2019-05-17,32313.45177664975
2019-05-18,29512.528473804105
2019-05-19,28975.476839237057
2019-05-20,32216.55437921078
2019-05-21,29971.472629144177
2019-05-22,30141.62806088683
2019-05-23,30436.046511627905
2019-05-24,31551.63283318623
2019-05-25,27804.605722260992
2019-05-26,27896.170839469807
2019-05-27,32522.83653846153
2019-05-28,32241.098677517806
2019-05-29,30312.628336755646
2019-05-30,32110.29411764706
2019-05-31,32976.625273922575
2019-06-01,28855.103497501783
2019-06-02,28849.88085782367
2019-06-03,32947.7503628447
2019-06-04,32401.995723449752
2019-06-05,33914.14141414141
2019-06-06,34881.10599078341
2019-06-07,30067.774936061378
2019-06-08,29552.678571428576
2019-06-09,29413.544668587892
2019-06-10,33364.44086886565
2019-06-11,32131.85975609756
2019-06-12,31102.755453501715
2019-06-13,31684.303350970018
2019-06-14,30885.804416403786
2019-06-15,27688.23229750382
2019-06-16,27674.288901282765
2019-06-17,33705.46105640108
2019-06-18,34720.68230277186
2019-06-19,35611.489776046736
2019-06-20,35949.514563106786
2019-06-21,35917.25352112676
2019-06-22,30921.771217712176
2019-06-23,28304.892601431977
2019-06-24,31694.558221181975
2019-06-25,33276.51515151515
2019-06-26,32819.632881085396
2019-06-27,33455.1282051282
2019-06-28,34975.490196078434
2019-06-29,30549.61832061069
2019-06-30,30086.614173228343
2019-07-01,35216.08527131783
2019-07-02,35056.712132089015
2019-07-03,33949.28571428572
2019-07-04,34156.315422191205
2019-07-05,33848.9336492891
2019-07-06,30008.11907983762
2019-07-07,29973.59277275886
2019-07-08,35160.22099447514
2019-07-09,34891.12227805695
2019-07-10,35266.06334841629
